Name,Platform,Genre,Global_Sales
Animal Crossing: Wild World,DS,Simulation,12.27
Mario Kart 7,3DS,Racing,12.21
Halo 3,X360,Shooter,12.14
Grand Theft Auto V,PS4,Action,11.98
Pokemon HeartGold/Pokemon SoulSilver,DS,Action,11.9
Super Mario 64,N64,Platform,11.89
Gran Turismo 4,PS2,Racing,11.66
Super Mario Galaxy,Wii,Platform,11.52
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,Role-Playing,11.33
Super Mario Land 2: 6 Golden Coins,GB,Adventure,11.18
Grand Theft Auto IV,X360,Action,11.02
Gran Turismo,PS,Racing,10.95
Super Mario 3D Land,3DS,Platform,10.79
Gran Turismo 5,PS3,Racing,10.77
Call of Duty: Modern Warfare 2,PS3,Shooter,10.69
Grand Theft Auto IV,PS3,Action,10.57
Super Mario All-Stars,SNES,Platform,10.55
Pokemon FireRed/Pokemon LeafGreen,GBA,Role-Playing,10.49
Super Mario 64,DS,Platform,10.42
Just Dance 3,Wii,Misc,10.26
Call of Duty: Ghosts,X360,Shooter,10.21
Halo: Reach,X360,Shooter,9.88
Mario Kart 64,N64,Racing,9.87
New Super Mario Bros. 2,3DS,Platform,9.82
Halo 4,X360,Shooter,9.76
Final Fantasy VII,PS,Role-Playing,9.72
Call of Duty: Ghosts,PS3,Shooter,9.59
Just Dance 2,Wii,Misc,9.52
Gran Turismo 2,PS,Racing,9.49
Call of Duty 4: Modern Warfare,X360,Shooter,9.32
Donkey Kong Country,SNES,Platform,9.3
Minecraft,X360,Misc,9.2
Animal Crossing: New Leaf,3DS,Simulation,9.09
Mario Party DS,DS,Misc,9.02
The Elder Scrolls V: Skyrim,X360,Role-Playing,8.84
Super Mario Kart,SNES,Racing,8.76
FIFA 16,PS4,Sports,8.49
Wii Party,Wii,Misc,8.49
Halo 2,XB,Shooter,8.49
Mario Party 8,Wii,Misc,8.42
Pokemon Black 2/Pokemon White 2,DS,Role-Playing,8.33
FIFA Soccer 13,PS3,Action,8.24
The Sims 3,PC,Simulation,8.11
GoldenEye 007,N64,Shooter,8.09
Mario & Sonic at the Olympic Games,Wii,Sports,8.06
Final Fantasy X,PS2,Role-Playing,8.05
Final Fantasy VIII,PS,Role-Playing,7.86
Pok̩mon Platinum Version,DS,Role-Playing,7.84
Pac-Man,2600,Puzzle,7.81
Grand Theft Auto: Liberty City Stories,PSP,Action,7.72
Super Mario Galaxy 2,Wii,Platform,7.69
Star Wars Battlefront (2015),PS4,Shooter,7.67
Call of Duty: Advanced Warfare,PS4,Shooter,7.6
The Legend of Zelda: Ocarina of Time,N64,Action,7.6
Crash Bandicoot 2: Cortex Strikes Back,PS,Platform,7.58
Super Mario Bros. 2,NES,Platform,7.46
Super Smash Bros. for Wii U and 3DS,3DS,Fighting,7.45
Call of Duty: World at War,X360,Shooter,7.37
Battlefield 3,X360,Shooter,7.34
The Legend of Zelda: Twilight Princess,Wii,Action,7.31
Call of Duty: Black Ops 3,XOne,Shooter,7.3
Just Dance,Wii,Misc,7.27
Battlefield 3,PS3,Shooter,7.23
Need for Speed Underground,PS2,Racing,7.2
Tekken 3,PS,Fighting,7.16
Crash Bandicoot 3: Warped,PS,Platform,7.13
Super Smash Bros. Melee,GC,Fighting,7.07
Mario Kart 8,WiiU,Racing,6.96
Fallout 4,PS4,Role-Playing,6.96
Mario Kart: Double Dash!!,GC,Racing,6.95
Just Dance 4,Wii,Misc,6.91
FIFA 14,PS3,Sports,6.9
Need for Speed Underground 2,PS2,Racing,6.9
Medal of Honor: Frontline,PS2,Shooter,6.83
Uncharted 3: Drake's Deception,PS3,Action,6.83
Crash Bandicoot,PS,Platform,6.82
Zumba Fitness,Wii,Sports,6.81
Gears of War 2,X360,Shooter,6.76
Uncharted 2: Among Thieves,PS3,Action,6.73
Call of Duty 4: Modern Warfare,PS3,Shooter,6.72
FIFA 12,PS3,Sports,6.69
Big Brain Academy,DS,Misc,6.67
Red Dead Redemption,PS3,Action,6.6
FIFA 15,PS4,Sports,6.59
Donkey Kong Country Returns,Wii,Platform,6.59
The Elder Scrolls V: Skyrim,PS3,Role-Playing,6.56
The Legend of Zelda,NES,Action,6.51
Assassin's Creed III,PS3,Action,6.5
Halo: Combat Evolved,XB,Shooter,6.43
Pok̩mon Emerald Version,GBA,Role-Playing,6.41
Kingdom Hearts,PS2,Role-Playing,6.4
Pok̩mon Crystal Version,GB,Role-Playing,6.39
Halo 3: ODST,X360,Shooter,6.36
Red Dead Redemption,X360,Action,6.34
Super Mario Sunshine,GC,Platform,6.31
Street Fighter II: The World Warrior,SNES,Fighting,6.3
World of Warcraft,PC,Role-Playing,6.28
Driver,PS,Action,6.27
Kinect Sports,X360,Sports,6.24
Gears of War 3,X360,Shooter,6.24
Gears of War,X360,Shooter,6.11
Metal Gear Solid 2: Sons of Liberty,PS2,Action,6.05
Sonic the Hedgehog 2,GEN,Platform,6.03
Metal Gear Solid 4: Guns of the Patriots,PS3,Action,6.03
Metal Gear Solid,PS,Action,6.03
The Last of Us,PS3,Action,5.99
Final Fantasy XII,PS2,Role-Playing,5.95
LittleBigPlanet,PS3,Platform,5.92
Dragon Quest IX: Sentinels of the Starry Skies,DS,Role-Playing,5.84
LEGO Star Wars: The Complete Saga,Wii,Action,5.83
Resident Evil 2,PS,Action,5.82
Tekken 2,PS,Fighting,5.74
Cooking Mama,DS,Simulation,5.72
Destiny,PS4,Shooter,5.65
Tetris,NES,Puzzle,5.58
Assassin's Creed II,PS3,Action,5.57
Super Smash Bros.,N64,Fighting,5.55
Assassin's Creed,X360,Adventure,5.55
Batman: Arkham City,PS3,Action,5.53
Forza Motorsport 3,X360,Racing,5.51
Monster Hunter Freedom Unite,PSP,Role-Playing,5.5
Super Mario Advance,GBA,Platform,5.49
Mario Kart: Super Circuit,GBA,Racing,5.47
Super Mario World,GBA,Platform,5.46
Pokemon Stadium,N64,Strategy,5.45
Call of Duty: World at War,PS3,Shooter,5.43
Crash Bandicoot: The Wrath of Cortex,PS2,Platform,5.42
Minecraft,PS3,Misc,5.42
Final Fantasy XIII,PS3,Role-Playing,5.36
Dr. Mario,GB,Puzzle,5.34
Pokemon Pinball,GB,Misc,5.31
Assassin's Creed III,X360,Action,5.3
Final Fantasy IX,PS,Role-Playing,5.3
Final Fantasy X-2,PS2,Role-Playing,5.29
Donkey Kong 64,N64,Platform,5.27
Assassin's Creed II,X360,Action,5.27
Professor Layton and the Curious Village,DS,Puzzle,5.26
Tomb Raider II,PS,Action,5.24
Dragon Quest VIII: Journey of the Cursed King,PS2,Role-Playing,5.21
Diablo III,PC,Role-Playing,5.2
Super Mario Bros. 3,GBA,Platform,5.2
New Super Mario Bros. U,WiiU,Platform,5.19
Super Mario Land 3: Wario Land,GB,Platform,5.19
FIFA Soccer 13,X360,Action,5.18
The Legend of Zelda: Phantom Hourglass,DS,Action,5.17
Donkey Kong Country 2: Diddy's Kong Quest,SNES,Platform,5.15
Tomodachi Life,3DS,Simulation,5.15
Mario & Sonic at the Olympic Games,DS,Sports,5.14
Medal of Honor: Rising Sun,PS2,Shooter,5.13
Kirby's Dream Land,GB,Platform,5.13
Fable III,X360,Role-Playing,5.13
Call of Duty: Advanced Warfare,XOne,Shooter,5.13
Microsoft Flight Simulator,PC,Simulation,5.12
Guitar Hero II,PS2,Misc,5.12
Resident Evil 5,PS3,Action,5.11
Grand Theft Auto V,XOne,Action,5.08
Grand Theft Auto: Vice City Stories,PSP,Action,5.08
FIFA Soccer 11,PS3,Sports,5.08
Super Mario Bros.,GB,Platform,5.07
Resident Evil,PS,Action,5.05
Tony Hawk's Pro Skater,PS,Sports,5.02
Super Smash Bros. for Wii U and 3DS,WiiU,Fighting,5.02
Warzone 2100,PS,Strategy,5.01
Spyro the Dragon,PS,Platform,5.0
Link's Crossbow Training,Wii,Shooter,5.0
Guitar Hero III: Legends of Rock,PS2,Misc,4.98
Fallout 3,X360,Role-Playing,4.96
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,Role-Playing,4.96
Uncharted: Drake's Fortune,PS3,Action,4.94
Madden NFL 06,PS2,Sports,4.91
LEGO Star Wars: The Complete Saga,DS,Action,4.9
Diddy Kong Racing,N64,Racing,4.88
Monster Hunter Freedom 3,PSP,Role-Playing,4.87
Dr. Mario,NES,Puzzle,4.85
God of War III,PS3,Action,4.84
StarCraft II: Wings of Liberty,PC,Strategy,4.83
Assassin's Creed,PS3,Adventure,4.83
FIFA 15,PS3,Sports,4.82
Crash Team Racing,PS,Racing,4.79
FIFA 17,PS4,Sports,4.77
Batman: Arkham City,X360,Action,4.76
Driver 2,PS,Action,4.73
The Simpsons: Hit & Run,PS2,Racing,4.7
Tony Hawk's Pro Skater 2,PS,Sports,4.68
Animal Crossing: City Folk,Wii,Simulation,4.68
The Lord of the Rings: The Two Towers,PS2,Action,4.67
Forza Motorsport 4,X360,Racing,4.64
Tomb Raider,PS,Action,4.63
Guitar Hero III: Legends of Rock,Wii,Misc,4.62
The Legend of Zelda: A Link to the Past,SNES,Action,4.61
The Legend of Zelda: The Wind Waker,GC,Action,4.6
Mario & Sonic at the Olympic Winter Games,Wii,Sports,4.58
Luigi's Mansion: Dark Moon,3DS,Action,4.58
Splatoon,WiiU,Shooter,4.57
The Last of Us,PS4,Action,4.55
Guitar Hero III: Legends of Rock,X360,Misc,4.53
Madden NFL 2005,PS2,Sports,4.53
Pitfall!,2600,Platform,4.5
Madden NFL 07,PS2,Sports,4.49
Spider-Man: The Movie,PS2,Action,4.48
Dragon Quest VII: Warriors of Eden,PS,Role-Playing,4.47
Uncharted: The Nathan Drake Collection,PS4,Action,4.47
Call of Duty: Advanced Warfare,PS3,Shooter,4.45
God of War,PS2,Action,4.45
Nintendo Land,WiiU,Misc,4.44
Michael Jackson: The Experience,Wii,Misc,4.42
Tony Hawk's Pro Skater 3,PS2,Sports,4.41
Winning Eleven: Pro Evolution Soccer 2007,PS2,Sports,4.39
The Elder Scrolls IV: Oblivion,X360,Role-Playing,4.39
Zelda II: The Adventure of Link,NES,Adventure,4.38
Need for Speed: Most Wanted,PS2,Racing,4.37
Resistance: Fall of Man,PS3,Shooter,4.35
Sonic the Hedgehog,GEN,Platform,4.34
Kingdom Hearts II,PS2,Role-Playing,4.33
FIFA 14,X360,Sports,4.31
Call of Duty: Advanced Warfare,X360,Shooter,4.31
Asteroids,2600,Shooter,4.31
Fable II,X360,Role-Playing,4.31
Halo 5: Guardians,XOne,Shooter,4.26
Super Mario 3D World,WiiU,Platform,4.25
Batman: Arkham Asylum,PS3,Action,4.25
Assassin's Creed: Revelations,PS3,Action,4.24
Namco Museum,GBA,Misc,4.24
Metal Gear Solid 3: Snake Eater,PS2,Action,4.23
Daxter,PSP,Platform,4.22
Warcraft II: Tides of Darkness,PC,Strategy,4.21
The Legend of Zelda: Ocarina of Time,3DS,Action,4.21
FIFA Soccer 06,PS2,Sports,4.21
EyeToy Play,PS2,Misc,4.2
Uncharted 4: A Thief's End,PS4,Shooter,4.2
Gran Turismo 5 Prologue,PS3,Racing,4.2
Assassin's Creed: Revelations,X360,Action,4.19
Street Fighter IV,PS3,Fighting,4.19
FIFA 12,X360,Sports,4.19
Teenage Mutant Ninja Turtles,NES,Action,4.17
Excitebike,NES,Racing,4.16
Frogger,PS,Action,4.16
Madden NFL 2003,PS2,Sports,4.14
Watch Dogs,PS4,Action,4.14
Half-Life,PC,Shooter,4.12
Super Mario World 2: Yoshi's Island,SNES,Platform,4.12
FIFA Soccer 07,PS2,Sports,4.11
The Legend of Zelda: Skyward Sword,Wii,Action,4.1
Street Fighter II Turbo,SNES,Fighting,4.1
Carnival Games,Wii,Misc,4.1
Fallout 4,XOne,Role-Playing,4.09
World of Warcraft: The Burning Crusade,PC,Role-Playing,4.09
Fallout: New Vegas,X360,Role-Playing,4.08
God of War II,PS2,Action,4.07
Forza Motorsport 2,X360,Racing,4.06
World Soccer Winning Eleven 9,PS2,Sports,4.06
Namco Museum Vol.3,PS,Misc,4.05
Tekken Tag Tournament,PS2,Fighting,4.05
Far Cry 4,PS4,Shooter,4.03
Star Fox 64,N64,Shooter,4.03
Minecraft,PS4,Misc,4.02
Golf,NES,Sports,4.01
Fallout 3,PS3,Role-Playing,4.01
Professor Layton and the Diabolical Box,DS,Puzzle,4.0
Left 4 Dead 2,X360,Shooter,3.99
Namco Museum: 50th Anniversary,PS2,Misc,3.98
EA Sports Active,Wii,Sports,3.92
Assassin's Creed: Unity,PS4,Action,3.92
Donkey Kong Land,GB,Platform,3.91
Tony Hawk's Underground,PS2,Sports,3.9
Assassin's Creed IV: Black Flag,PS3,Action,3.89
Monster Hunter 4 Ultimate,3DS,Role-Playing,3.89
MotorStorm,PS3,Racing,3.88
The Elder Scrolls V: Skyrim,PC,Role-Playing,3.88
Tekken 5,PS2,Fighting,3.87
Dragon Warrior III,NES,Role-Playing,3.87
Sports Champions,PS3,Sports,3.87
NBA 2K16,PS4,Sports,3.85
World Soccer Winning Eleven 8 International,PS2,Sports,3.85
Flash Focus: Vision Training in Minutes a Day,DS,Misc,3.84
Namco Museum Vol.1,PS,Misc,3.84
The Legend of Zelda: Link's Awakening,GB,Action,3.83
Mario & Luigi: Bowser's Inside Story,DS,Role-Playing,3.83
Big Brain Academy: Wii Degree,Wii,Misc,3.82
Nintendogs + cats,3DS,Simulation,3.81
Batman: Arkham Knight,PS4,Action,3.79
Mario & Sonic at the London 2012 Olympic Games,Wii,Sports,3.78
LEGO Indiana Jones: The Original Adventures,X360,Action,3.78
Resident Evil Director's Cut,PS,Action,3.77
Ratchet & Clank: Size Matters,PSP,Platform,3.77
Just Dance 2014,Wii,Misc,3.76
The Sims: Unleashed,PC,Simulation,3.76
Super Paper Mario,Wii,Platform,3.76
Harry Potter and the Sorcerer's Stone,PS,Action,3.73
The Witcher 3: Wild Hunt,PS4,Role-Playing,3.73
Resident Evil 3: Nemesis,PS,Action,3.72
Spyro: Year of the Dragon,PS,Platform,3.71
FIFA Soccer 2005,PS2,Sports,3.7
Pok̩mon Trading Card Game,GB,Strategy,3.7
Battlefield 4,PS3,Shooter,3.69
MySims,DS,Simulation,3.69
Friend Collection,DS,Misc,3.67
Tony Hawk's Pro Skater 4,PS2,Sports,3.67
Midnight Club 3: DUB Edition,PSP,Racing,3.66
Banjo-Kazooie,N64,Platform,3.65
SOCOM: U.S. Navy SEALs,PS2,Shooter,3.65
Guitar Hero: World Tour,Wii,Misc,3.65
Gran Turismo 6,PS3,Racing,3.64
Jak and Daxter: The Precursor Legacy,PS2,Platform,3.64
Pokemon Snap,N64,Simulation,3.63
FIFA Soccer 10,PS3,Sports,3.63
Pro Evolution Soccer 2008,PS2,Sports,3.63
Call of Duty: Ghosts,PS4,Shooter,3.63
Resident Evil 4,PS2,Action,3.62
Tom Clancy's The Division,PS4,Shooter,3.61
Star Wars: Battlefront,PS2,Shooter,3.61
Doom II: Hell on Earth,PC,Shooter,3.61
The Simpsons: Road Rage,PS2,Racing,3.61
Cooking Mama 2: Dinner With Friends,DS,Simulation,3.61
Luigi's Mansion,GC,Action,3.6
Star Wars: Battlefront II,PS2,Shooter,3.59
WWF SmackDown!,PS,Fighting,3.58
Croc: Legend of the Gobbos,PS,Platform,3.56
Grand Theft Auto: Liberty City Stories,PS2,Action,3.54
The Getaway,PS2,Action,3.54
Tomb Raider III: Adventures of Lara Croft,PS,Action,3.54
James Bond 007: Agent Under Fire,PS2,Shooter,3.53
LEGO Star Wars: The Video Game,PS2,Action,3.53
Battlefield 4,X360,Shooter,3.53
FIFA Soccer 11,X360,Sports,3.53
Rugrats in Paris: The Movie,PS,Action,3.52
Spyro 2: Ripto's Rage!,PS,Platform,3.52
Left 4 Dead,X360,Shooter,3.52
Mario & Sonic at the Olympic Winter Games,DS,Sports,3.52
Resident Evil 5,X360,Action,3.51
Donkey Kong Country 3: Dixie Kong's Double Trouble!,SNES,Platform,3.51
Assassin's Creed: Brotherhood,X360,Action,3.5
Kung Fu,NES,Action,3.5
Batman: Arkham Asylum,X360,Action,3.5
Clubhouse Games,DS,Misc,3.5
Star Wars Battlefront (2015),XOne,Shooter,3.49
Battlefield: Bad Company 2,X360,Shooter,3.48
Guitar Hero: On Tour,DS,Misc,3.48
Assassin's Creed: Unity,XOne,Action,3.46
Far Cry 3,PS3,Shooter,3.45
Monster Hunter 4,3DS,Role-Playing,3.44
Borderlands,X360,Shooter,3.44
Tekken 4,PS2,Fighting,3.44
Battlefield 4,PS4,Shooter,3.43
LittleBigPlanet 2,PS3,Platform,3.42
Grand Theft Auto 2,PS,Action,3.42
Final Fantasy III,SNES,Role-Playing,3.42
Spider-Man 2,PS2,Action,3.41
F-1 Race,GB,Racing,3.41
FIFA Soccer 2003,PS2,Sports,3.4
Crash Bash,PS,Misc,3.39
LEGO Batman: The Videogame,X360,Action,3.38
Metal Gear Solid V: The Phantom Pain,PS4,Action,3.38
The Legend of Zelda: Spirit Tracks,DS,Action,3.38
WWF War Zone,PS,Fighting,3.36
The Legend of Zelda: Majora's Mask,N64,Action,3.36
Professor Layton and the Unwound Future,DS,Puzzle,3.36
Rugrats: Search For Reptar,PS,Adventure,3.34
Assassin's Creed IV: Black Flag,X360,Action,3.34
English Training: Have Fun Improving Your Skills!,DS,Misc,3.33
James Bond 007: Nightfire,PS2,Shooter,3.33
Ratchet & Clank,PS2,Platform,3.33
Mario Party 9,Wii,Misc,3.32
Star Wars Episode III: Revenge of the Sith,PS2,Action,3.32
Max Payne,PS2,Shooter,3.31
The Lord of the Rings: The Return of the King,PS2,Action,3.28
Assassin's Creed Syndicate,PS4,Action,3.28
Destiny,XOne,Shooter,3.28
True Crime: Streets of LA,PS2,Action,3.27
Wii Music,Wii,Misc,3.27
Gran Turismo (PSP),PSP,Racing,3.27
Monster Hunter X,3DS,Action,3.26
Tekken,PS,Fighting,3.24
FIFA 16,XOne,Sports,3.23
L.A. Noire,PS3,Adventure,3.23
Madden NFL 16,PS4,Sports,3.22
Yokai Watch 2 Ganso/Honke,3DS,Role-Playing,3.22
007: Tomorrow Never Dies,PS,Shooter,3.21
Baseball,NES,Sports,3.2
Killer Instinct,SNES,Fighting,3.2
WWF SmackDown! 2: Know Your Role,PS,Fighting,3.2
Crisis Core: Final Fantasy VII,PSP,Role-Playing,3.19
God of War: Chains of Olympus,PSP,Action,3.19
Dragon Quest VI: Maboroshi no Daichi,SNES,Role-Playing,3.19
Dance Central,X360,Misc,3.19
Enter the Matrix,PS2,Action,3.18
Super Mario Maker,WiiU,Platform,3.18
Fallout: New Vegas,PS3,Role-Playing,3.17
Rhythm Heaven,DS,Misc,3.17
Ace Combat 04: Shattered Skies,PS2,Simulation,3.17
Club Penguin: Elite Penguin Force,DS,Adventure,3.16
Animal Crossing,GC,Simulation,3.15
LEGO Batman: The Videogame,DS,Action,3.15
Sonic Rush,DS,Platform,3.15
Resident Evil 6,PS3,Shooter,3.15
Halo: The Master Chief Collection,XOne,Shooter,3.15
FIFA Soccer 08,PS2,Sports,3.14
Spider-Man,PS,Action,3.13
Need for Speed III: Hot Pursuit,PS,Racing,3.12
Star Wars Episode I Racer,N64,Racing,3.12
Personal Trainer: Cooking,DS,Misc,3.12
The Elder Scrolls IV: Oblivion,PS3,Role-Playing,3.12
Dragon Warrior IV,NES,Role-Playing,3.12
Heavy Rain,PS3,Adventure,3.12
Mass Effect 2,X360,Role-Playing,3.11
FIFA 15,X360,Sports,3.11
Dragon Ball Z: Budokai,PS2,Fighting,3.09
Madden NFL 2002,PS2,Sports,3.08
World Class Track Meet,NES,Sports,3.08
Borderlands 2,X360,Shooter,3.07
The Legend of Zelda: A Link Between Worlds,3DS,Action,3.07
Donkey Kong,GB,Platform,3.07
The Sims: Vacation,PC,Simulation,3.07
Mass Effect 3,X360,Role-Playing,3.07
Kung Fu Panda,X360,Action,3.05
Far Cry 3,X360,Shooter,3.04
Epic Mickey,Wii,Platform,3.04
Saints Row 2,X360,Action,3.03
Rayman,PS,Platform,3.03
Killzone 2,PS3,Shooter,3.02
Tom Clancy's Splinter Cell,XB,Action,3.02
Mike Tyson's Punch-Out!!,NES,Fighting,3.02
WWE SmackDown! Shut Your Mouth,PS2,Sports,3.02
Gears of War: Ultimate Edition,XOne,Shooter,3.0
NBA 2K13,X360,Sports,3.0
Dragon Ball Z: Budokai Tenkaichi 3,PS2,Fighting,3.0
Middle-Earth: Shadow of Mordor,PS4,Action,2.99
Star Fox,SNES,Shooter,2.99
The Sims: Livin Large,PC,Misc,2.99
World Soccer Winning Eleven 6 International,PS2,Sports,2.99
Devil May Cry,PS2,Action,2.99
Animal Crossing: Happy Home Designer,3DS,Simulation,2.98
Battlefield: Bad Company 2,PS3,Shooter,2.97
The Sims 4,PC,Simulation,2.97
Star Wars: The Old Republic,PC,Role-Playing,2.97
Sonic Heroes,PS2,Platform,2.96
Kirby Super Star Ultra,DS,Platform,2.96
Hitman 2: Silent Assassin,PS2,Action,2.96
Street Fighter IV,X360,Fighting,2.95
Wave Race 64,N64,Racing,2.94
SOCOM II: U.S. Navy SEALs,PS2,Shooter,2.94
WWE SmackDown! vs. RAW 2006,PS2,Fighting,2.94
inFAMOUS,PS3,Action,2.94
Pac-Man Collection,GBA,Puzzle,2.94
Mass Effect,X360,Role-Playing,2.93
WarioWare: Smooth Moves,Wii,Puzzle,2.92
Cooking Mama: Cook Off,Wii,Simulation,2.91
Super Mario World 2: Yoshi's Island,GBA,Platform,2.91
FIFA 14,PS4,Sports,2.9
Titanfall,XOne,Shooter,2.9
Sonic Mega Collection Plus,PS2,Misc,2.9
Sega Superstars Tennis,X360,Sports,2.9
World Soccer Winning Eleven 7 International,PS2,Sports,2.9
Need for Speed: Most Wanted,PS3,Racing,2.89
Hot Shots Golf 3,PS2,Sports,2.89
Call of Duty: Finest Hour,PS2,Shooter,2.89
Zumba Fitness 2,Wii,Sports,2.88
Syphon Filter,PS,Shooter,2.88
Imagine: Babyz,DS,Simulation,2.88
Colin McRae Rally,PS,Racing,2.87
Call of Duty: Ghosts,XOne,Shooter,2.86
Madden NFL 13,X360,Sports,2.86
The Elder Scrolls III: Morrowind,XB,Role-Playing,2.86
Mortal Kombat,PS3,Fighting,2.85
F-Zero,SNES,Racing,2.85
Yoshi's Story,N64,Platform,2.85
Command & Conquer: Red Alert,PC,Strategy,2.85
Skylanders: Spyro's Adventure,Wii,Action,2.85
FIFA 16,PS3,Sports,2.85
Assassin's Creed: Brotherhood,PS3,Action,2.84
BioShock,X360,Shooter,2.83
Madden NFL 10,X360,Sports,2.83
Medal of Honor,PS3,Shooter,2.83
WWE SmackDown! vs. Raw,PS2,Fighting,2.83
Metroid Prime,GC,Shooter,2.82
Finding Nemo,GBA,Action,2.82
Myst,PC,Adventure,2.81
Need for Speed: Hot Pursuit,PS3,Racing,2.81
Imagine: Fashion Designer,DS,Simulation,2.81
WWE SmackDown! Here Comes the Pain,PS2,Fighting,2.8
Star Wars: The Force Unleashed,X360,Action,2.8
Yoshi's Island DS,DS,Platform,2.8
Hot Shots Golf,PS,Sports,2.79
Killzone 3,PS3,Shooter,2.79
A Bug's Life,PS,Platform,2.79
WWF SmackDown! Just Bring It,PS2,Fighting,2.79
Dragon Quest V: Tenkuu no Hanayome,SNES,Role-Playing,2.79
Mortal Kombat Trilogy,PS,Fighting,2.79
Battlefield 3,PC,Shooter,2.79
NBA Street,PS2,Sports,2.79
Professor Layton and the Last Specter,DS,Puzzle,2.79
Monster Hunter Tri,3DS,Role-Playing,2.79
Jak II,PS2,Platform,2.78
inFAMOUS: Second Son,PS4,Action,2.78
Ratchet & Clank: Going Commando,PS2,Platform,2.78
Tekken 6,PS3,Fighting,2.78
The Sims,PS2,Simulation,2.77
Sonic and the Secret Rings,Wii,Platform,2.77
Saints Row: The Third,X360,Action,2.77
Missile Command,2600,Shooter,2.76
Mario Paint,SNES,Misc,2.75
Assassin's Creed IV: Black Flag,PS4,Action,2.74
Pok̩mon Stadium 2,N64,Strategy,2.73
Metroid,NES,Action,2.73
L.A. Noire,X360,Adventure,2.72
Call of Duty 3,X360,Shooter,2.71
The Legend of Zelda: A Link to the Past,GBA,Action,2.7
Onimusha: Warlords,PS2,Action,2.7
Mortal Kombat X,PS4,Fighting,2.7
Mario Party,N64,Misc,2.7
Madden NFL 12,X360,Sports,2.69
LEGO Star Wars II: The Original Trilogy,PS2,Action,2.69
Madden NFL 11,X360,Sports,2.69
Mario vs. Donkey Kong: Mini-Land Mayhem!,DS,Puzzle,2.69
Skate 3,X360,Sports,2.68
Burnout 3: Takedown,PS2,Racing,2.68
Yokai Watch 2 Shinuchi,3DS,Role-Playing,2.68
Need for Speed: Shift,PS3,Racing,2.68
Final Fantasy XIII-2,PS3,Role-Playing,2.68
Mortal Kombat,GEN,Fighting,2.67
Call Of Duty 2: Big Red One,PS2,Shooter,2.67
Guitar Hero: World Tour,X360,Misc,2.67
Medal of Honor,PS,Shooter,2.67
Fable,XB,Role-Playing,2.66
Hannah Montana,DS,Action,2.65
Tom Clancy's Splinter Cell,PS2,Action,2.65
Skylanders Giants,Wii,Action,2.65
Medal of Honor Heroes,PSP,Shooter,2.65
Super Mario Bros.: The Lost Levels,NES,Platform,2.65
Star Wars: Shadows of the Empire,N64,Action,2.65
LEGO Star Wars: The Complete Saga,X360,Action,2.64
Midnight Club: Street Racing,PS2,Racing,2.63
Pac-Man: Adventures in Time,PSP,Fighting,2.63
Halo Wars,X360,Strategy,2.63
God of War Collection,PS3,Action,2.63
ESPN NFL 2K5,PS2,Sports,2.62
Mario Strikers Charged,Wii,Sports,2.62
Medal of Honor,X360,Shooter,2.62
FIFA Soccer 10,X360,Sports,2.62
NBA 2K12,X360,Sports,2.62
